"","ref_date","GEO","DGUID","New.housing.price.indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","full_date","yr"
"53","1985-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.4,"",NA,NA,1,1985-05-01,1985
"54","1985-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.6,"",NA,NA,1,1985-06-01,1985
"55","1985-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.7,"",NA,NA,1,1985-07-01,1985
"56","1985-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38,"",NA,NA,1,1985-08-01,1985
"57","1985-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.1,"",NA,NA,1,1985-09-01,1985
"58","1985-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.4,"",NA,NA,1,1985-10-01,1985
"59","1985-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.6,"",NA,NA,1,1985-11-01,1985
"60","1985-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.7,"",NA,NA,1,1985-12-01,1985
"61","1986-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,39.4,"",NA,NA,1,1986-01-01,1986
"62","1986-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,39.9,"",NA,NA,1,1986-02-01,1986
"63","1986-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,40.2,"",NA,NA,1,1986-03-01,1986
"64","1986-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,40.6,"",NA,NA,1,1986-04-01,1986
"65","1986-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,40.9,"",NA,NA,1,1986-05-01,1986
"66","1986-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,41.2,"",NA,NA,1,1986-06-01,1986
"67","1986-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,41.4,"",NA,NA,1,1986-07-01,1986
"68","1986-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,41.9,"",NA,NA,1,1986-08-01,1986
"69","1986-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,42.9,"",NA,NA,1,1986-09-01,1986
"70","1986-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,43.4,"",NA,NA,1,1986-10-01,1986
"71","1986-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,44.1,"",NA,NA,1,1986-11-01,1986
"72","1986-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,44.4,"",NA,NA,1,1986-12-01,1986
"73","1987-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,44.8,"",NA,NA,1,1987-01-01,1987
"74","1987-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,45.9,"",NA,NA,1,1987-02-01,1987
"75","1987-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,47.3,"",NA,NA,1,1987-03-01,1987
